# Eigenvalor 1 =     1.2500
 # X      Psi(x)     |Psi(x)|^2
  -5.0000000000000000        0.0000000000000000        0.0000000000000000     
  -4.9989999999525025        1.1034760892918728E-007   1.2176594796388853E-014
  -4.9979999999050051        2.2069769957646188E-007   4.8707474598342220E-014
  -4.9969999998575076        3.3105275150940976E-007   1.0959592428195100E-013
  -4.9959999998100102        4.4141524220141913E-007   1.9484741604773750E-013
  -4.9949999997625127        5.5178764708783777E-007   3.0446960747873221E-013
  -4.9939999997150153        6.6217243962198589E-007   4.3847233979493252E-013
  -4.9929999996675178        7.7257209133102567E-007   5.9686763630359463E-013
  -4.9919999996200204        8.8298907187168861E-007   7.7966970104482603E-013
  -4.9909999995725229        9.9342584908586325E-007   9.8689491763196833E-013
  -4.9899999995250255        1.1038848890560417E-006   1.2185618482862694E-012
  -4.9889999994775280        1.2143686561606319E-006   1.4746912330653791E-012
  -4.9879999994300306        1.3248796131291296E-006   1.7553059892851921E-012
  -4.9869999993825331        1.4354202210971585E-006   2.0604312111346154E-012
  -4.9859999993350357        1.5459929396613748E-006   2.3900941694828192E-012
  -4.9849999992875382        1.6566002269342400E-006   2.7443243118785755E-012
  -4.9839999992400408        1.7672445395986643E-006   3.1231532627412951E-012
  -4.9829999991925433        1.8779283329625188E-006   3.5266148237433850E-012
  -4.9819999991450459        1.9886540610130179E-006   3.9547449743835677E-012
  -4.9809999990975484        2.0994241764709789E-006   4.4075818727508482E-012
  -4.9799999990500510        2.2102411308449522E-006   4.8851658564787725E-012
  -4.9789999990025535        2.3211073744852308E-006   5.3875394438897218E-012
  -4.9779999989550561        2.4320253566377331E-006   5.9147473353288929E-012
  -4.9769999989075586        2.5429975254977660E-006   6.4668364146877605E-012
  -4.9759999988600612        2.6540263282636688E-006   7.0438557511167312E-012
  -4.9749999988125637        2.7651142111903351E-006   7.6458566009267492E-012
  -4.9739999987650663        2.8762636196426203E-006   8.2728924096796676E-012
  -4.9729999987175688        2.9874769981486301E-006   8.9250188144671502E-012
  -4.9719999986700714        3.0987567904528946E-006   9.6022936463779251E-012
  -4.9709999986225739        3.2101054395694301E-006   1.0304776933153245E-011
  -4.9699999985750765        3.3215253878346846E-006   1.1032530902030352E-011
  -4.9689999985275790        3.4330190769603742E-006   1.1785619982773859E-011
  -4.9679999984800816        3.5445889480862115E-006   1.2564110810894915E-011
  -4.9669999984325841        3.6562374418325203E-006   1.3368072231058013E-011
  -4.9659999983850867        3.7679669983527444E-006   1.4197575300675391E-011
  -4.9649999983375892        3.8797800573858562E-006   1.5052693293688996E-011
  -4.9639999982900918        3.9916790583086490E-006   1.5933501704539821E-011
  -4.9629999982425943        4.1036664401879308E-006   1.6840078252324683E-011
  -4.9619999981950969        4.2157446418326213E-006   1.7772502885140457E-011
  -4.9609999981475994        4.3279161018457357E-006   1.8730857784615588E-011
  -4.9599999981001019        4.4401832586762782E-006   1.9715227370629093E-011
  -4.9589999980526045        4.5525485506710315E-006   2.0725698306216909E-011
  -4.9579999980051070        4.6650144161262469E-006   2.1762359502665709E-011
  -4.9569999979576096        4.7775832933392452E-006   2.2825302124794270E-011
  -4.9559999979101121        4.8902576206599102E-006   2.3914619596422327E-011
  -4.9549999978626147        5.0030398365421014E-006   2.5030407606027215E-011
  -4.9539999978151172        5.1159323795949630E-006   2.6172764112588181E-011
  -4.9529999977676198        5.2289376886341477E-006   2.7341789351618621E-011
  -4.9519999977201223        5.3420582027329442E-006   2.8537585841386335E-011
  -4.9509999976726249        5.4552963612733188E-006   2.9760258389321916E-011
  -4.9499999976251274        5.5686546039968658E-006   3.1009914098615491E-011
  -4.9489999975776300        5.6821353710556762E-006   3.2286662375002025E-011
  -4.9479999975301325        5.7957411030631107E-006   3.3590614933735204E-011
  -4.9469999974826351        5.9094742411444987E-006   3.4921885806750347E-011
  -4.9459999974351376        6.0233372269877460E-006   3.6280591350016431E-011
  -4.9449999973876402        6.1373325028938595E-006   3.7666850251077403E-011
  -4.9439999973401427        6.2514625118273964E-006   3.9080783536783299E-011
  -4.9429999972926453        6.3657296974668282E-006   4.0522514581211113E-011
  -4.9419999972451478        6.4801365042548242E-006   4.1992169113775934E-011
  -4.9409999971976504        6.5946853774484552E-006   4.3489875227532476E-011
  -4.9399999971501529        6.7093787631693344E-006   4.5015763387667668E-011
  -4.9389999971026555        6.8242191084536633E-006   4.6569966440184112E-011
  -4.9379999970551580        6.9392088613022081E-006   4.8152619620775090E-011
  -4.9369999970076606        7.0543504707302143E-006   4.9763860563891592E-011
  -4.9359999969601631        7.1696463868172354E-006   5.1403829312001436E-011
  -4.9349999969126657        7.2850990607568869E-006   5.3072668325040873E-011
  -4.9339999968651682        7.4007109449065481E-006   5.4770522490059573E-011
  -4.9329999968176708        7.5164844928369711E-006   5.6497539131058658E-011
  -4.9319999967701733        7.6324221593818480E-006   5.8253868019023076E-011
  -4.9309999967226759        7.7485264006872805E-006   6.0039661382147787E-011
  -4.9299999966751784        7.8647996742612080E-006   6.1855073916259201E-011
  -4.9289999966276810        7.9812444390227579E-006   6.3700262795431695E-011
  -4.9279999965801835        8.0978631553515342E-006   6.5575387682799908E-011
  -4.9269999965326861        8.2146582851368497E-006   6.7480610741567483E-011
  -4.9259999964851886        8.3316322918268832E-006   6.9416096646212480E-011
  -4.9249999964376912        8.4487876404777871E-006   7.1382012593890207E-011
  -4.9239999963901937        8.5661267978027235E-006   7.3378528316033943E-011
  -4.9229999963426962        8.6836522322208604E-006   7.5405816090154327E-011
  -4.9219999962951988        8.8013664139062856E-006   7.7464050751837585E-011
  -4.9209999962477013        8.9192718148368896E-006   7.9553409706943742E-011
  -4.9199999962002039        9.0373709088431662E-006   8.1674072944004751E-011
  -4.9189999961527064        9.1556661716569830E-006   8.3826223046824039E-011
  -4.9179999961052090        9.2741600809602771E-006   8.6010045207277130E-011
  -4.9169999960577115        9.3928551164337111E-006   8.8225727238314945E-011
  -4.9159999960102141        9.5117537598052766E-006   9.0473459587169814E-011
  -4.9149999959627166        9.6308584948988366E-006   9.2753435348765081E-011
  -4.9139999959152192        9.7501718076826299E-006   9.5065850279329170E-011
  -4.9129999958677217        9.8696961863177213E-006   9.7410902810214576E-011
  -4.9119999958202243        9.9894341212064092E-006   9.9788794061922870E-011
  -4.9109999957727268        1.0109388105040575E-005   1.0219972785833586E-010
  -4.9099999957252294        1.0229560632850001E-005   1.0464391074115451E-010
  -4.9089999956777319        1.0349954202050626E-005   1.0712155198454541E-010
  -4.9079999956302345        1.0470571312492784E-005   1.0963286360999685E-010
  -4.9069999955827370        1.0591414466509364E-005   1.1217806040138383E-010
  -4.9059999955352396        1.0712486168963963E-005   1.1475735992024422E-010
  -4.9049999954877421        1.0833788927298970E-005   1.1737098252126577E-010
  -4.9039999954402447        1.0955325251583625E-005   1.2001915136798582E-010
  -4.9029999953927472        1.1077097654562045E-005   1.2270209244870396E-010
  -4.9019999953452498        1.1199108651701193E-005   1.2542003459260850E-010
  -4.9009999952977523        1.1321360761238830E-005   1.2817320948611827E-010
  -4.8999999952502549        1.1443856504231406E-005   1.3096185168943945E-010
  -4.8989999952027574        1.1566598404601941E-005   1.3378619865334018E-010
  -4.8979999951552600        1.1689588989187867E-005   1.3664649073614222E-010
  -4.8969999951077625        1.1812830787788817E-005   1.3954297122093137E-010
  -4.8959999950602651        1.1936326333214405E-005   1.4247588633298765E-010
  -4.8949999950127676        1.2060078161331956E-005   1.4544548525743597E-010
  -4.8939999949652702        1.2184088811114225E-005   1.4845202015711884E-010
  -4.8929999949177727        1.2308360824687067E-005   1.5149574619069130E-010
  -4.8919999948702753        1.2432896747377090E-005   1.5457692153093983E-010
  -4.8909999948227778        1.2557699127759290E-005   1.5769580738332643E-010
