# Eigenvalor 0 =     0.4999
 # X      Psi(x)     |Psi(x)|^2
  -4.9599999981001019        1.1028831689699781E-006   1.2163512843972612E-012
  -4.9589999980526045        1.1308160180725385E-006   1.2787448667294319E-012
  -4.9579999980051070        1.1587755452613204E-006   1.3427607642956704E-012
  -4.9569999979576096        1.1867623986628130E-006   1.4084049908799135E-012
  -4.9559999979101121        1.2147772264954649E-006   1.4756837100120141E-012
  -4.9549999978626147        1.2428206770843123E-006   1.5446032353883084E-012
  -4.9539999978151172        1.2708933988755847E-006   1.6151700313055361E-012
  -4.9529999977676198        1.2989960404512873E-006   1.6873907131081225E-012
  -4.9519999977201223        1.3271292505437638E-006   1.7612720476488522E-012
  -4.9509999976726249        1.3552936780502347E-006   1.8368209537629330E-012
  -4.9499999976251274        1.3834899720473140E-006   1.9140445027554775E-012
  -4.9489999975776300        1.4117187818055078E-006   1.9929499189024271E-012
  -4.9479999975301325        1.4399807568036888E-006   2.0735445799649245E-012
  -4.9469999974826351        1.4682765467435514E-006   2.1558360177171682E-012
  -4.9459999974351376        1.4966068015640475E-006   2.2398319184877683E-012
  -4.9449999973876402        1.5249721714558034E-006   2.3255401237146282E-012
  -4.9439999973401427        1.5533733068755136E-006   2.4129686305133684E-012
  -4.9429999972926453        1.5818108585603191E-006   2.5021255922593337E-012
  -4.9419999972451478        1.6102854775421657E-006   2.5930193191832007E-012
  -4.9409999971976504        1.6387978151621449E-006   2.6856582789802197E-012
  -4.9399999971501529        1.6673485230848137E-006   2.7800510974331094E-012
  -4.9389999971026555        1.6959382533125006E-006   2.8762065590486555E-012
  -4.9379999970551580        1.7245676581995918E-006   2.9741336077080244E-012
  -4.9369999970076606        1.7532373904667998E-006   3.0738413473308337E-012
  -4.9359999969601631        1.7819481032154193E-006   3.1753390425530306E-012
  -4.9349999969126657        1.8107004499415603E-006   3.2786361194185690E-012
  -4.9339999968651682        1.8394950845503718E-006   3.3837421660849797E-012
  -4.9329999968176708        1.8683326613702438E-006   3.4906669335428180E-012
  -4.9319999967701733        1.8972138351669982E-006   3.5994203363490697E-012
  -4.9309999967226759        1.9261392611580632E-006   3.7100124533745294E-012
  -4.9299999966751784        1.9551095950266310E-006   3.8224535285651975E-012
  -4.9289999966276810        1.9841254929358045E-006   3.9367539717177490E-012
  -4.9279999965801835        2.0131876115427267E-006   4.0529243592691086E-012
  -4.9269999965326861        2.0422966080126990E-006   4.1709754351001760E-012
  -4.9259999964851886        2.0714531400332844E-006   4.2909181113537540E-012
  -4.9249999964376912        2.1006578658283970E-006   4.4127634692667157E-012
  -4.9239999963901937        2.1299114441723790E-006   4.5365227600164687E-012
  -4.9229999963426962        2.1592145344040682E-006   4.6622074055817771E-012
  -4.9219999962951988        2.1885677964408474E-006   4.7898289996179462E-012
  -4.9209999962477013        2.2179718907926865E-006   4.9193993083464848E-012
  -4.9199999962002039        2.2474274785761719E-006   5.0509302714592497E-012
  -4.9189999961527064        2.2769352215285222E-006   5.1844340030371405E-012
  -4.9179999961052090        2.3064957820215972E-006   5.3199227924834193E-012
  -4.9169999960577115        2.3361098230758922E-006   5.4574091054716763E-012
  -4.9159999960102141        2.3657780083745255E-006   5.5969055849085365E-012
  -4.9149999959627166        2.3955010022772104E-006   5.7384250519111198E-012
  -4.9139999959152192        2.4252794698342252E-006   5.8819805067993804E-012
  -4.9129999958677217        2.4551140768003672E-006   6.0275851301033192E-012
  -4.9119999958202243        2.4850054896488982E-006   6.1752522835851606E-012
  -4.9109999957727268        2.5149543755854851E-006   6.3249955112765773E-012
  -4.9099999957252294        2.5449614025621285E-006   6.4768285405309965E-012
  -4.9089999956777319        2.5750272392910847E-006   6.6307652830910653E-012
  -4.9079999956302345        2.6051525552587770E-006   6.7868198361713353E-012
  -4.9069999955827370        2.6353380207397027E-006   6.9450064835562534E-012
  -4.9059999955352396        2.6655843068103318E-006   7.1053396967135176E-012
  -4.9049999954877421        2.6958920853629967E-006   7.2678341359228470E-012
  -4.9039999954402447        2.7262620291197779E-006   7.4325046514202888E-012
  -4.9029999953927472        2.7566948116463807E-006   7.5993662845580752E-012
  -4.9019999953452498        2.7871911073660082E-006   7.7684342689801554E-012
  -4.9009999952977523        2.8177515915732242E-006   7.9397240318134386E-012
  -4.8999999952502549        2.8483769404478165E-006   8.1132511948748643E-012
  -4.8989999952027574        2.8790678310686499E-006   8.2890315758943393E-012
  -4.8979999951552600        2.9098249414275151E-006   8.4670811897536421E-012
  -4.8969999951077625        2.9406489504429760E-006   8.6474162497413754E-012
  -4.8959999950602651        2.9715405379742067E-006   8.8300531688240378E-012
  -4.8949999950127676        3.0025003848348312E-006   9.0150085609333090E-012
  -4.8939999949652702        3.0335291728067517E-006   9.2022992422696147E-012
  -4.8929999949177727        3.0646275846539835E-006   9.3919422326221092E-012
  -4.8919999948702753        3.0957963041364725E-006   9.5839547567050429E-012
  -4.8909999948227778        3.1270360160239228E-006   9.7783542455107671E-012
  -4.8899999947752804        3.1583474061096159E-006   9.9751583376793394E-012
  -4.8889999947277829        3.1897311612242257E-006   1.0174384880884848E-011
  -4.8879999946802855        3.2211879692496325E-006   1.0376051933238572E-011
  -4.8869999946327880        3.2527185191327387E-006   1.0580177764709077E-011
  -4.8859999945852906        3.2843235008992794E-006   1.0786780858559299E-011
  -4.8849999945377931        3.3160036056676313E-006   1.0995879912800732E-011
  -4.8839999944902956        3.3477595256626199E-006   1.1207493841664810E-011
  -4.8829999944427982        3.3795919542293325E-006   1.1421641777091639E-011
  -4.8819999943953007        3.4115015858469190E-006   1.1638343070236043E-011
  -4.8809999943478033        3.4434891161424045E-006   1.1857617292991198E-011
  -4.8799999943003058        3.4755552419044914E-006   1.2079484239529788E-011
  -4.8789999942528084        3.5077006610973716E-006   1.2303963927862937E-011
  -4.8779999942053109        3.5399260728745292E-006   1.2531076601416886E-011
  -4.8769999941578135        3.5722321775925546E-006   1.2760842730627645E-011
  -4.8759999941103160        3.6046196768249487E-006   1.2993283014553597E-011
  -4.8749999940628186        3.6370892733759401E-006   1.3228418382506325E-011
  -4.8739999940153211        3.6696416712942923E-006   1.3466269995699567E-011
  -4.8729999939678237        3.7022775758871228E-006   1.3706859248916631E-011
  -4.8719999939203262        3.7349976937337167E-006   1.3950207772196183E-011
  -4.8709999938728288        3.7678027326993459E-006   1.4196337432536659E-011
  -4.8699999938253313        3.8006934019490928E-006   1.4445270335619367E-011
  -4.8689999937778339        3.8336704119616752E-006   1.4697028827550400E-011
  -4.8679999937303364        3.8667344745432709E-006   1.4951635496621424E-011
  -4.8669999936828390        3.8998863028413563E-006   1.5209113175089624E-011
  -4.8659999936353415        3.9331266113585327E-006   1.5469484940976653E-011
  -4.8649999935878441        3.9664561159663733E-006   1.5732774119887049E-011
  -4.8639999935403466        3.9998755339192625E-006   1.5999004286845906E-011
  -4.8629999934928492        4.0333855838682445E-006   1.6268199268156180E-011
  -4.8619999934453517        4.0669869858748773E-006   1.6540383143275621E-011
  -4.8609999933978543        4.1006804614250917E-006   1.6815580246713504E-011
  -4.8599999933503568        4.1344667334430511E-006   1.7093815169947253E-011
  -4.8589999933028594        4.1683465263050250E-006   1.7375112763359167E-011
  -4.8579999932553619        4.2023205658532607E-006   1.7659498138193270E-011
  -4.8569999932078645        4.2363895794098634E-006   1.7946996668532477E-011
  -4.8559999931603670        4.2705542957906851E-006   1.8237633993296274E-011
  -4.8549999931128696        4.3048154453192186E-006   1.8531436018258902E-011
  -4.8539999930653721        4.3391737598404965E-006   1.8828428918088310E-011
  -4.8529999930178747        4.3736299727349983E-006   1.9128639138405943E-011
  -4.8519999929703772        4.4081848189325682E-006   1.9432093397867558E-011
  -4.8509999929228798        4.4428390349263381E-006   1.9738818690265197E-011
  -4.8499999928753823        4.4775933587866539E-006   2.0048842286650347E-011
  -4.8489999928278849        4.5124485301750189E-006   2.0362191737478687E-011
  -4.8479999927803874        4.5474052903580385E-006   2.0678894874776276E-011
  -4.8469999927328900        4.5824643822213766E-006   2.0998979814327545E-011
  -4.8459999926853925        4.6176265502837192E-006   2.1322474957885121E-011
  -4.8449999926378950        4.6528925407107492E-006   2.1649408995401731E-011
  -4.8439999925903976        4.6882631013291303E-006   2.1979810907284235E-011
  -4.8429999925429001        4.7237389816404959E-006   2.2313709966669989E-011
  -4.8419999924954027        4.7593209328354587E-006   2.2651135741725782E-011
  -4.8409999924479052        4.7950097078076141E-006   2.2992118097969263E-011
  -4.8399999924004078        4.8308060611675730E-006   2.3336687200613362E-011
  -4.8389999923529103        4.8667107492569892E-006   2.3684873516933526E-011
  -4.8379999923054129        4.9027245301626044E-006   2.4036707818658129E-011
  -4.8369999922579154        4.9388481637303071E-006   2.4392221184382228E-011
  -4.8359999922104180        4.9750824115791984E-006   2.4751445002004694E-011
  -4.8349999921629205        5.0114280371156691E-006   2.5114410971189006E-011
  -4.8339999921154231        5.0478858055474921E-006   2.5481151105847854E-011
  -4.8329999920679256        5.0844564838979244E-006   2.5851697736651644E-011
  -4.8319999920204282        5.1211408410198242E-006   2.6226083513561232E-011
  -4.8309999919729307        5.1579396476097745E-006   2.6604341408384845E-011
  -4.8299999919254333        5.1948536762222260E-006   2.6986504717359575E-011
  -4.8289999918779358        5.2318837012836475E-006   2.7372607063757480E-011
  -4.8279999918304384        5.2690304991067012E-006   2.7762682400516613E-011
  -4.8269999917829409        5.3062948479044118E-006   2.8156765012896905E-011
  -4.8259999917354435        5.3436775278043659E-006   2.8554889521161380E-011
  -4.8249999916879460        5.3811793208629222E-006   2.8957090883282741E-011
  -4.8239999916404486        5.4188010110794314E-006   2.9363404397675471E-011
  -4.8229999915929511        5.4565433844104722E-006   2.9773865705953687E-011
  -4.8219999915454537        5.4944072287841041E-006   3.0188510795715018E-011
  -4.8209999914979562        5.5323933341141372E-006   3.0607376003350536E-011
  -4.8199999914504588        5.5705024923144064E-006   3.1030498016881010E-011
  -4.8189999914029613        5.6087354973130800E-006   3.1457913878819803E-011
